epoch,loss,val_loss
1,1.0660637617111206,0.9896285533905029
2,1.000877857208252,0.9805483222007751
3,0.9931603670120239,0.9739916324615479
4,0.9854154586791992,0.9641515016555786
5,0.9742503762245178,0.9492051005363464
6,0.9576018452644348,0.9278365969657898
7,0.9371662139892578,0.9070516228675842
8,0.9201874732971191,0.8926972150802612
9,0.908636212348938,0.8838303089141846
10,0.9013239145278931,0.8783787488937378
11,0.8965889811515808,0.8747522234916687
12,0.8932808637619019,0.8721506595611572
13,0.8906571269035339,0.8698779344558716
14,0.8883204460144043,0.8675611615180969
15,0.8860127925872803,0.8649520874023438
16,0.8834806084632874,0.8618250489234924
17,0.8804373741149902,0.8579635620117188
18,0.8765225410461426,0.8530892133712769
19,0.8711764812469482,0.8470540642738342
20,0.8637661933898926,0.839775025844574
21,0.8539096713066101,0.8307228684425354
22,0.840807318687439,0.8185973167419434
23,0.8265674710273743,0.8075653314590454
24,0.8147518634796143,0.7975385189056396
25,0.8039151430130005,0.786323070526123
26,0.791345477104187,0.77451092004776
27,0.7814077138900757,0.7676542401313782
28,0.774749219417572,0.7635895013809204
29,0.7698202729225159,0.7606300711631775
30,0.7658896446228027,0.757897675037384
31,0.761398434638977,0.7556092143058777
32,0.7581815123558044,0.7540159225463867
33,0.7558390498161316,0.7527072429656982
34,0.7538977265357971,0.7515813112258911
35,0.7522140741348267,0.7505791187286377
36,0.750713050365448,0.7496607899665833
37,0.7493458390235901,0.7488045692443848
38,0.7480775117874146,0.747998833656311
39,0.7468773722648621,0.7472322583198547
40,0.7457187175750732,0.7464901804924011
41,0.7445796728134155,0.7457544207572937
42,0.7434431910514832,0.7450031638145447
43,0.7422943711280823,0.7442163228988647
44,0.7411182522773743,0.7433797121047974
45,0.7399024367332458,0.742481529712677
46,0.7386388778686523,0.7415102124214172
47,0.7373305559158325,0.7404769659042358
48,0.7359942197799683,0.7394120097160339
49,0.7346288561820984,0.7383059859275818
50,0.7332091331481934,0.7371203303337097
