epoch,loss,val_loss
1,1.0849426984786987,0.9319431781768799
2,1.0121806859970093,0.9304578900337219
3,1.007911205291748,0.9286830425262451
4,1.004275918006897,0.9223036766052246
5,0.9956257343292236,0.9005602598190308
6,0.9676378965377808,0.8399344682693481
7,0.9115667343139648,0.7712685465812683
8,0.8696552515029907,0.732690691947937
9,0.8479856848716736,0.7133930921554565
10,0.8347180485725403,0.7011756300926208
11,0.8241097927093506,0.6917060017585754
12,0.8137307167053223,0.683129072189331
13,0.8039463758468628,0.675910472869873
14,0.7950080633163452,0.6698465347290039
15,0.7876446843147278,0.6645756363868713
16,0.7813106775283813,0.6598653197288513
17,0.7746472954750061,0.6548963785171509
18,0.7654157280921936,0.6471322178840637
19,0.7539148926734924,0.6369785666465759
20,0.7444288730621338,0.6290425062179565
21,0.7375729084014893,0.6229333877563477
22,0.732306182384491,0.6177653670310974
23,0.7276960611343384,0.6129595041275024
24,0.723071277141571,0.6084684133529663
25,0.7178521156311035,0.6057849526405334
26,0.7127817273139954,0.6017171740531921
27,0.7065156698226929,0.5967480540275574
28,0.6985519528388977,0.5902427434921265
29,0.6883113384246826,0.583457350730896
30,0.6771461367607117,0.5770546793937683
31,0.6678754687309265,0.5713608860969543
32,0.660370409488678,0.5666618347167969
33,0.6541100144386292,0.5626922249794006
34,0.6490451693534851,0.559292197227478
35,0.6449922919273376,0.5563437938690186
36,0.6416443586349487,0.5537200570106506
37,0.6387702226638794,0.5513073801994324
38,0.6362210512161255,0.5490161776542664
39,0.6338989734649658,0.5467787981033325
40,0.6317387819290161,0.5445446372032166
41,0.6296964287757874,0.5422747731208801
42,0.6277393102645874,0.5399374961853027
43,0.6258376836776733,0.537521481513977
44,0.623968780040741,0.535075306892395
45,0.6221245527267456,0.5327038168907166
46,0.6203093528747559,0.5304744839668274
47,0.6185279488563538,0.5283826589584351
48,0.6167818903923035,0.5263985395431519
49,0.6150756478309631,0.5245019197463989
50,0.61341792345047,0.5226895213127136
