epoch,loss,mae,val_loss,val_mae
1,1550.56689453125,12.05544662475586,1616.1585693359375,14.779692649841309
2,1535.0706787109375,14.57070541381836,1612.5230712890625,15.125055313110352
3,1532.2791748046875,14.643733024597168,1609.3367919921875,15.405235290527344
4,1530.1851806640625,14.782238006591797,1606.97021484375,15.607415199279783
5,1528.4453125,14.844035148620604,1605.186279296875,15.649197578430176
6,1527.32763671875,14.897940635681152,1603.971435546875,15.688255310058594
7,1526.45947265625,14.943573951721191,1603.07958984375,15.724198341369627
8,1525.711181640625,14.96898365020752,1602.332763671875,15.750649452209473
9,1525.012939453125,14.989173889160156,1601.7305908203125,15.773902893066406
10,1524.3245849609375,15.00099754333496,1601.1795654296875,15.797149658203123
11,1523.6224365234375,14.953697204589844,1601.11328125,15.916013717651367
12,1523.206787109375,15.013728141784668,1600.333740234375,15.921170234680176
13,1522.4615478515625,15.03632926940918,1599.732177734375,15.936922073364258
14,1521.809326171875,15.045479774475098,1599.149169921875,15.911029815673828
15,1521.11279296875,15.04727268218994,1598.620361328125,15.928342819213867
16,1520.4752197265625,15.050453186035156,1598.086181640625,15.92343521118164
17,1519.7784423828125,15.046131134033203,1597.5191650390625,15.936883926391602
18,1519.1632080078125,15.0595121383667,1597.06396484375,15.963333129882812
19,1518.623046875,15.063419342041016,1596.605712890625,15.96811294555664
20,1518.0751953125,15.070343017578123,1596.1868896484375,15.97724437713623
21,1517.5906982421875,15.070740699768066,1595.8748779296875,16.000232696533203
22,1517.170654296875,15.072933197021484,1595.6075439453125,15.995645523071287
23,1516.801513671875,15.073907852172852,1595.4166259765625,16.003089904785156
