epoch,loss,val_loss
1,0.9739346504211426,0.8937152028083801
2,0.8629567623138428,0.8618159890174866
3,0.8277143836021423,0.8183522820472717
4,0.7982690930366516,0.7998222708702087
5,0.7776411771774292,0.7787845730781555
6,0.7615929841995239,0.7679001688957214
7,0.7469677925109863,0.7514809966087341
8,0.7352076172828674,0.7450042366981506
9,0.7296436429023743,0.7399805784225464
10,0.7261079549789429,0.7375460863113403
11,0.7241591215133667,0.7359161376953125
12,0.7227365970611572,0.7347216606140137
13,0.7216425538063049,0.7338299751281738
14,0.7207722067832947,0.7331159114837646
15,0.7200626134872437,0.7325142621994019
16,0.7194727659225464,0.7319926023483276
17,0.7189725041389465,0.7315373420715332
18,0.71854168176651,0.7311400175094604
19,0.7181650400161743,0.7307882905006409
20,0.7178246378898621,0.7304667830467224
21,0.717507541179657,0.7301577925682068
22,0.7171937227249146,0.7298375368118286
