epoch,loss,val_loss
1,0.9809082746505737,0.8561742305755615
2,0.7963407039642334,0.7183393239974976
3,0.6736788749694824,0.6479863524436951
4,0.6443895697593689,0.635076642036438
5,0.6299639344215393,0.6213281750679016
6,0.6203047037124634,0.6183688044548035
7,0.6179973483085632,0.6169261336326599
8,0.6168623566627502,0.6160764694213867
9,0.6161925196647644,0.6155374050140381
10,0.6157544851303101,0.6151548027992249
11,0.6154452562332153,0.6148718595504761
12,0.6152162551879883,0.6146671175956726
