epoch,loss,mae,val_loss,val_mae
1,1450.0269775390625,8.978596687316895,1149.494384765625,10.364920616149902
2,622.68115234375,11.043806076049805,300.18304443359375,10.371172904968262
3,197.93722534179688,9.407621383666992,123.52061462402344,7.788334369659424
4,103.4083023071289,7.084179401397705,72.76998901367188,5.944044589996338
5,67.75598907470703,5.631467342376709,51.186676025390625,4.882551670074463
6,49.00456237792969,4.67099666595459,38.27025604248047,4.087006568908691
7,36.37181091308594,3.9025115966796875,29.079204559326172,3.4202117919921875
8,27.11603355407715,3.227342128753662,22.762928009033203,2.870569944381714
9,20.46367835998535,2.638195037841797,18.412574768066406,2.429932117462158
10,15.752370834350586,2.156283378601074,14.60178279876709,2.003899097442627
11,12.538458824157715,1.782991886138916,11.67444133758545,1.5384594202041626
12,10.498642921447754,1.504662036895752,9.868794441223145,1.1818161010742188
13,8.91550350189209,1.2776838541030884,8.51180648803711,0.9866470098495483
14,7.677220821380615,1.0911320447921753,7.777327537536621,0.956603467464447
15,6.845029830932617,0.9606444835662842,7.178583145141602,0.9491553902626038
16,6.1810431480407715,0.8725306391716003,6.648052215576172,0.9611614942550659
17,5.642111778259277,0.8297480940818787,6.11071252822876,0.9213259816169739
18,5.16917085647583,0.8055148124694824,5.45298433303833,0.7271944284439087
19,4.727605819702148,0.7813029885292053,4.914342880249023,0.5802006721496582
20,4.313424110412598,0.7514728903770447,4.5236616134643555,0.5951494574546814
21,3.9396443367004395,0.7284637093544006,4.141470432281494,0.5975202918052673
22,3.5936598777770996,0.7104479670524597,3.721825122833252,0.5422829389572144
23,3.2711446285247803,0.6912967562675476,3.2800683975219727,0.48905715346336365
24,2.920281171798706,0.6614883542060852,2.850895881652832,0.5193460583686829
25,2.640643835067749,0.6407440900802612,2.617985725402832,0.5891568660736084
26,2.4239208698272705,0.6311835646629333,2.4438223838806152,0.6332656145095825
27,2.2403175830841064,0.6235771179199219,2.279700517654419,0.6523856520652771
28,2.087358236312866,0.6135574579238892,2.1415393352508545,0.6637260317802429
