k,inertia,cluster_rmse,silhouette_score
2,2028708.75,14.771176252460899,0.20255547761917114
3,1868193.375,14.17477398668747,0.15431183576583862
4,1726837.5,13.627963593183656,0.11750190705060959
5,1627982.25,13.23213922600767,0.13020595908164978
6,1537059.75,12.857324474538988,0.12958849966526031
7,1473977.75,12.590723683138007,0.13903678953647614
8,1424558.25,12.377853412794382,0.13613773882389069
9,1377825.5,12.173132191162418,0.13949832320213318
10,1339726.5,12.003649423561152,0.14358097314834595
11,1312045.375,11.878993820702973,0.1478234976530075
12,1285361.5,11.75757811579682,0.15205956995487213
13,1261087.75,11.646029412443543,0.15015791356563568
14,1237499.25,11.536596449854947,0.15180063247680664
15,1219538.5,11.45257083763894,0.14581160247325897
