epoch,loss,val_loss
1,1.0897407531738281,0.9908406734466553
2,1.0070843696594238,0.9779942631721497
3,1.0003571510314941,0.9741653800010681
4,0.9971928596496582,0.9710692167282104
5,0.9944329857826233,0.9679272770881653
6,0.9916102886199951,0.9645523428916931
7,0.9886098504066467,0.96090167760849
8,0.9853301644325256,0.9567864537239075
9,0.9813516139984131,0.9517809748649597
10,0.9761935472488403,0.9452261328697205
11,0.9695612788200378,0.9373002648353577
12,0.9618284702301025,0.9283320903778076
13,0.954364001750946,0.920638918876648
14,0.948480486869812,0.9145833253860474
15,0.9440617561340332,0.9101239442825317
16,0.940616250038147,0.9066269397735596
17,0.9381356835365295,0.9040325880050659
18,0.9361007809638977,0.9015651345252991
19,0.9342353940010071,0.8995282649993896
20,0.9325430393218994,0.897960901260376
21,0.9310433864593506,0.8962109684944153
22,0.9296490550041199,0.8947508335113525
23,0.928360104560852,0.8934701085090637
24,0.9271482229232788,0.8921748399734497
25,0.9260247349739075,0.8908113837242126
26,0.9250478148460388,0.8902789354324341
27,0.9240365028381348,0.8893253803253174
28,0.9230908155441284,0.8883107900619507
29,0.9221383333206177,0.8874298930168152
30,0.9211429357528687,0.8865116238594055
31,0.9200534820556641,0.8853914141654968
32,0.9188529253005981,0.8843168616294861
33,0.9175108075141907,0.8828146457672119
34,0.9160324931144714,0.8809303045272827
35,0.9144115447998047,0.8794543147087097
36,0.912747859954834,0.877458930015564
37,0.910876989364624,0.875589907169342
38,0.9090595841407776,0.873810887336731
39,0.9073452353477478,0.8715947270393372
40,0.905593752861023,0.8699154257774353
41,0.9040545225143433,0.8683245182037354
42,0.9025819301605225,0.8669531345367432
43,0.9012982249259949,0.8664518594741821
44,0.9003352522850037,0.8660173416137695
45,0.899406909942627,0.8649131059646606
46,0.8986226916313171,0.8648497462272644
47,0.8980105519294739,0.8637053966522217
48,0.8973187804222107,0.8630268573760986
49,0.8966153860092163,0.862763524055481
50,0.8954847455024719,0.861267626285553
