epoch,accuracy,loss,val_accuracy,val_loss
1,0.8604118824005127,0.45938071608543396,0.8571428656578064,0.3879009187221527
2,0.8615560531616211,0.3797217309474945,0.8571428656578064,0.37051504850387573
3,0.8615560531616211,0.35949379205703735,0.8571428656578064,0.363963782787323
4,0.8615560531616211,0.3449122905731201,0.8571428656578064,0.36143967509269714
5,0.8615560531616211,0.33418962359428406,0.8571428656578064,0.3584611415863037
6,0.8615560531616211,0.32509616017341614,0.8571428656578064,0.35572588443756104
7,0.8649885654449463,0.31720277667045593,0.8571428656578064,0.3529615104198456
8,0.8604118824005127,0.30987825989723206,0.8673469424247742,0.3508802056312561
9,0.8638443946838379,0.30329635739326477,0.8673469424247742,0.3492763638496399
10,0.8649885654449463,0.2973135709762573,0.8775510191917419,0.34789326786994934
11,0.8672769069671631,0.29147088527679443,0.8673469424247742,0.34608277678489685
12,0.8695651888847351,0.28550028800964355,0.8775510191917419,0.34418508410453796
13,0.8729977011680603,0.28046464920043945,0.8775510191917419,0.34192711114883423
14,0.8718535304069519,0.27504608035087585,0.8775510191917419,0.33911487460136414
15,0.8775743842124939,0.26980355381965637,0.8877550959587097,0.3380601704120636
16,0.8787185549736023,0.2655116617679596,0.8775510191917419,0.33612948656082153
17,0.8810068368911743,0.2608528733253479,0.8775510191917419,0.335781067609787
18,0.8832951784133911,0.2560100555419922,0.8775510191917419,0.33360064029693604
19,0.8821510076522827,0.25154533982276917,0.8775510191917419,0.33196067810058594
20,0.8855835199356079,0.24753719568252563,0.8775510191917419,0.3307793140411377
21,0.8867276906967163,0.24388174712657928,0.8775510191917419,0.32852792739868164
22,0.8878718614578247,0.24097460508346558,0.8673469424247742,0.3256581425666809
23,0.8901602029800415,0.2376524657011032,0.8673469424247742,0.32452407479286194
24,0.8901602029800415,0.2352493405342102,0.8571428656578064,0.3235354423522949
25,0.8913043737411499,0.23222370445728302,0.8571428656578064,0.3233320713043213
26,0.8913043737411499,0.23000477254390717,0.8571428656578064,0.3228612244129181
27,0.8935926556587219,0.22770333290100098,0.8571428656578064,0.3222978115081787
28,0.8947368264198303,0.22575242817401886,0.8571428656578064,0.32311952114105225
29,0.8958809971809387,0.22358904778957367,0.8469387888908386,0.3226086497306824
30,0.8993135094642639,0.22137346863746643,0.8469387888908386,0.32640349864959717
31,0.8958809971809387,0.22061234712600708,0.8469387888908386,0.32687267661094666
32,0.8993135094642639,0.2179996818304062,0.8469387888908386,0.32889923453330994
33,0.9004576802253723,0.2164568305015564,0.8469387888908386,0.3297528922557831
34,0.9004576802253723,0.21416957676410675,0.8469387888908386,0.33202236890792847
35,0.9016018509864807,0.21277454495429993,0.8469387888908386,0.33367064595222473
36,0.9016018509864807,0.2112218141555786,0.8469387888908386,0.33300793170928955
37,0.9027460217475891,0.20950904488563538,0.8571428656578064,0.33077096939086914
38,0.9027460217475891,0.20776516199111938,0.8469387888908386,0.33238041400909424
39,0.9027460217475891,0.20668098330497742,0.8469387888908386,0.3335041105747223
40,0.9027460217475891,0.20533712208271027,0.8367347121238708,0.33229178190231323
41,0.9038901329040527,0.2039354294538498,0.8367347121238708,0.33097049593925476
42,0.9027460217475891,0.2022443562746048,0.8367347121238708,0.332933634519577
43,0.9038901329040527,0.20106752216815948,0.8367347121238708,0.33191531896591187
44,0.9027460217475891,0.19961392879486084,0.8367347121238708,0.33403053879737854
45,0.9038901329040527,0.19822783768177032,0.8367347121238708,0.33379456400871277
46,0.9038901329040527,0.19686448574066162,0.8367347121238708,0.3345092833042145
47,0.9038901329040527,0.19590455293655396,0.8367347121238708,0.33166059851646423
48,0.9027460217475891,0.1943512260913849,0.8265306353569031,0.33367449045181274
49,0.9050343036651611,0.19340389966964722,0.8265306353569031,0.3339327573776245
50,0.9050343036651611,0.19211341440677643,0.8265306353569031,0.33511418104171753
