epoch,accuracy,val_accuracy,loss,val_loss
1,0.5904761850833893,0.939393937587738,0.6782782872517904,0.5026985009511312
2,0.9333333174387614,0.939393937587738,0.3995135227839152,0.3259681761264801
3,0.9333333174387614,0.939393937587738,0.287164549032847,0.2624086886644363
4,0.9333333174387614,0.939393937587738,0.24832092225551605,0.2433921049038569
5,0.9333333174387614,0.939393937587738,0.23619436224301657,0.23654459416866302
6,0.9333333174387614,0.939393937587738,0.23003287613391868,0.23216149210929868
7,0.9333333174387614,0.939393937587738,0.22523462772369376,0.22799512743949887
8,0.9333333174387614,0.939393937587738,0.22072596848011014,0.22414250671863553
9,0.9333333174387614,0.939393937587738,0.21629634002844492,0.21967781583468113
10,0.9333333174387614,0.939393937587738,0.21157132089138028,0.21435831983884177
11,0.9333333174387614,0.939393937587738,0.20661292970180503,0.2087519814570745
12,0.9333333174387614,0.939393937587738,0.20176701744397474,0.20360346138477317
13,0.9333333174387614,0.939393937587738,0.19701067109902695,0.1976918131113052
14,0.9333333174387614,0.939393937587738,0.19197843968868256,0.1917988409598668
15,0.9333333174387614,0.939393937587738,0.18720863511164984,0.1866123378276825
16,0.9333333174387614,0.939393937587738,0.18250275651613868,0.1812025507291158
17,0.9333333174387614,0.939393937587738,0.178000936905543,0.1758750627438227
18,0.9333333174387614,0.939393937587738,0.1737534453471501,0.17107483247915903
19,0.9346938729286194,0.939393937587738,0.16995657980442044,0.16677855451901746
20,0.9346938729286194,0.939393937587738,0.16648292293151215,0.16262598584095633
21,0.9346938729286194,0.939393937587738,0.1632176836331685,0.15902903179327643
22,0.9360544085502625,0.939393937587738,0.160176766415437,0.15558683375517524
23,0.9387754996617635,0.9454545378684998,0.1573974365989367,0.15224750091632203
24,0.9455782175064088,0.9515151381492615,0.1548694347341855,0.1492207472523053
25,0.9496598442395529,0.9575757384300232,0.15253402789433793,0.1466574817895889
26,0.9544217586517334,0.9575757384300232,0.15033895274003348,0.14370083808898917
27,0.9578231374422709,0.9575757384300232,0.14851367970307663,0.14205731203158692
28,0.9585034052530924,0.9575757384300232,0.14668919394413626,0.13968252142270401
29,0.9585034052530924,0.9636363387107848,0.14515466243028638,0.1379470253984133
30,0.9598639408747355,0.9636363387107848,0.1437340229749679,0.13632258524497345
31,0.9598639408747355,0.9636363387107848,0.14239195734262464,0.13456511994202927
32,0.9598639408747355,0.9636363387107848,0.1411751459042231,0.13382551570733384
33,0.9598639408747355,0.9636363387107848,0.13998507708311078,0.13206663479407627
34,0.9598639408747355,0.9636363387107848,0.1390117357174555,0.13115745534499482
35,0.9598639408747355,0.9636363387107848,0.13800161828597388,0.12956835577885306
36,0.9612244963645935,0.9636363387107848,0.1372088293234507,0.1287071531017621
37,0.960544208685557,0.9636363387107848,0.1363768006364504,0.1278370742996533
38,0.960544208685557,0.9636363387107848,0.1356206859151522,0.12686616430679953
39,0.9612244764963785,0.9636363387107848,0.13493974506855008,0.12645849337180454
40,0.9619047443072001,0.9636363387107848,0.1342173318068186,0.12565048287312186
41,0.9619047443072001,0.9696969588597616,0.13359587391217545,0.12452588106195127
42,0.9619047443072001,0.9696969588597616,0.13312865793704984,0.12432903175552683
43,0.9619047443072001,0.9696969588597616,0.1325297132134437,0.1234369079271952
44,0.9619047443072001,0.9696969588597616,0.13201350967089334,0.12285139908393218
45,0.9619047443072001,0.9696969588597616,0.13160140564044318,0.12237479165196417
46,0.9619047443072001,0.9696969588597616,0.13108984380960462,0.12200540925065669
47,0.9619047443072001,0.9696969588597616,0.13070258249839142,0.12111097325881316
48,0.9625850319862366,0.9696969588597616,0.13024137169122693,0.12022221212585764
49,0.9625850319862366,0.9696969588597616,0.129866470893224,0.11993771418929096
50,0.9625850319862366,0.9696969588597616,0.12953442335128781,0.11981525768836333
