epoch,average_accuracy,average_val_accuracy,average_loss,average_val_loss
1,0.7957665920257568,0.876275509595871,0.5371138900518417,0.4243467040359974
2,0.8752860426902771,0.876275509595871,0.3766128830611706,0.34707367047667503
3,0.8754290640354156,0.8775510191917419,0.3289610370993614,0.32072736695408816
4,0.8762871846556664,0.876275509595871,0.3070151917636394,0.30221990495920176
5,0.8787185400724411,0.8775510191917419,0.29236322268843645,0.2883441038429737
6,0.8807208314538002,0.8788265287876129,0.2821837682276964,0.27908194623887533
7,0.8807208314538002,0.8775510191917419,0.27495304122567177,0.27232458256185055
8,0.8817219734191895,0.8788265287876129,0.2691299170255661,0.2669416740536689
9,0.8822940587997437,0.8788265287876129,0.2641199231147766,0.2626736108213663
10,0.8828661367297173,0.8826530575752258,0.2601159755140543,0.2586755007505417
11,0.8835812285542488,0.8826530575752258,0.2564266752451658,0.2556006200611591
12,0.8842963352799416,0.8839285671710968,0.2532581090927124,0.2526332531124353
13,0.8845823779702187,0.8852040767669678,0.2502981517463922,0.25045377202332014
14,0.8847253993153572,0.8864795863628387,0.24760603904724118,0.24830319173634052
15,0.8852974772453308,0.8864795863628387,0.24520714394748205,0.2459309212863445
16,0.8855835199356079,0.8877550959587097,0.24278398789465422,0.24399551749229428
17,0.8867276906967163,0.8890306055545807,0.24050631560385224,0.24209628067910666
18,0.8877288326621056,0.8890306055545807,0.2383735198527574,0.2401896975934505
19,0.888873003423214,0.8903061151504517,0.2362201791256666,0.238245278596878
20,0.8894450813531876,0.8903061151504517,0.23418715968728063,0.2365023978054523
21,0.8908752873539925,0.8915816247463226,0.2322801407426595,0.234875613823533
22,0.8915903940796852,0.8966836631298065,0.2304029557853937,0.2334666773676872
23,0.8923054859042168,0.8992346823215485,0.22867524996399874,0.2319761663675308
24,0.8933066353201866,0.8992346897721291,0.22696155868470666,0.2303993236273527
25,0.8941647633910179,0.900510199368,0.2254309561103582,0.22933730296790597
26,0.8943077847361565,0.900510199368,0.2237721439450979,0.22786658816039557
27,0.8957379907369614,0.901785708963871,0.22231103479862208,0.2265719715505838
28,0.8968821465969086,0.900510199368,0.2207597158849239,0.22523796372115606
29,0.8973112106323242,0.903061218559742,0.21932920068502423,0.22407603263854975
30,0.8985984027385712,0.903061218559742,0.21782684884965417,0.2228396143764257
31,0.8988844379782677,0.903061218559742,0.21659862250089643,0.22172063030302522
32,0.8991704806685448,0.903061218559742,0.21512722037732598,0.2206172943115234
33,0.8993135020136833,0.903061218559742,0.21374369412660593,0.21957238763570783
34,0.8997425585985184,0.903061218559742,0.21276819147169587,0.21866568177938459
35,0.900171622633934,0.903061218559742,0.211565226316452,0.21759465709328651
36,0.9011727720499039,0.904336728155613,0.2102834098041057,0.21708678919821975
37,0.9011727645993233,0.904336728155613,0.20918155461549753,0.21595571655780074
38,0.9017448499798775,0.900510199368,0.20815509930253026,0.2154566617682576
39,0.901315800845623,0.900510199368,0.2068916168063879,0.21412695012986657
40,0.9013157933950424,0.8992346897721291,0.20590905658900732,0.21368756610900158
41,0.9016018360853195,0.903061218559742,0.204815799370408,0.21249384433031077
42,0.9021739214658737,0.9030612260103226,0.2038511354476213,0.21167091652750966
43,0.9028890281915665,0.903061218559742,0.2028379831463098,0.21089430805295703
44,0.9031750559806824,0.9043367356061935,0.20180094987154004,0.21032838523387903
45,0.9044622555375099,0.9056122526526451,0.20095571503043172,0.2094544358551502
46,0.9046052694320679,0.9043367356061935,0.20014188066124913,0.20893953833729023
47,0.9050343260169029,0.9068877622485161,0.19918342866003508,0.20822327490895984
48,0.9051773548126221,0.908163271844387,0.19833636842668054,0.20724806468933818
49,0.9066075459122658,0.9068877622485161,0.19753202423453325,0.20691831596195695
50,0.9071796387434006,0.908163271844387,0.19670139439404005,0.20625230111181733
