k,inertia,cluster_rmse,silhouette_score
2,497354.625,6.178658691568576,0.17512711882591248
3,397313.75,5.522400791364255,0.23084710538387299
4,356876.6875,5.233837259977029,0.1960301548242569
5,339037.25,5.101346619763338,0.1799692064523697
6,325075.1875,4.995201777380516,0.16288939118385315
7,316513.375,4.9289811636520255,0.16193266212940216
8,308756.34375,4.868207373002734,0.16464745998382568
9,300786.5625,4.804966236054994,0.12465524673461914
10,292600.46875,4.739130128130479,0.13266876339912415
11,287675.5625,4.699077530342339,0.1225876584649086
12,281642.4375,4.649541968884415,0.12041071057319641
13,276894.84375,4.61018718646302,0.11287122219800949
14,272395.875,4.572580799096019,0.11584027856588364
15,267610.5625,4.5322384460212914,0.11711359024047852
