k,inertia,cluster_rmse,silhouette_score
2,358467.09375,5.245486485855083,0.25485700368881226
3,287776.0625,4.699898274462738,0.23006361722946167
4,261909.453125,4.483701706070961,0.1863836646080017
5,250053.21875,4.381041324262312,0.17267034947872162
6,240856.796875,4.2997239923538935,0.15651436150074005
7,233234.1875,4.231138386576558,0.15714691579341888
8,226855.34375,4.172877464813995,0.12450364232063293
9,221625.8125,4.124499881294865,0.11521194130182266
10,215719.5,4.069169939624512,0.12829840183258057
11,211619.34375,4.030313290398104,0.12449819594621658
12,207925.828125,3.9949867659904776,0.11015456169843674
13,203820.171875,3.9553480648377795,0.11480585485696793
14,200225.5,3.9203136838520156,0.11439436674118042
15,196998.875,3.8885975487996376,0.11697398126125336
