k,inertia,cluster_rmse,silhouette_score
2,217836.40625,4.089087057475889,0.26530757546424866
3,174096.59375,3.655579743337813,0.23358756303787231
4,158406.625,3.486966664787413,0.19903193414211273
5,149897.96875,3.392024644738411,0.18966218829154968
6,142817.921875,3.3109489130095935,0.17216801643371582
7,138489.3125,3.260387764874159,0.1674361377954483
8,132714.625,3.1916886350740215,0.14175742864608765
9,129257.0234375,3.1498378717274576,0.1347435712814331
10,126469.1953125,3.115684707547485,0.13206005096435547
11,123302.390625,3.0764288365443737,0.1338459849357605
12,120619.03125,3.0427694213427343,0.13439089059829712
13,118350.046875,3.014014533856944,0.12642307579517365
14,116415.734375,2.989282544374886,0.1251140832901001
15,114021.921875,2.958389166864119,0.12103123217821121
