k,inertia,cluster_rmse,silhouette_score
2,144222.765625,3.327193314712785,0.24757811427116394
3,116654.4296875,2.992345542518787,0.2354923039674759
4,104716.96875,2.8351083177400835,0.21174120903015137
5,96615.4765625,2.7232309562067627,0.20026752352714539
6,90789.375,2.639846279402698,0.1927984654903412
7,86953.25,2.583473639393402,0.19182519614696503
8,83441.671875,2.5307696854359394,0.16737741231918335
9,80338.28125,2.4832611443653128,0.16699232161045074
10,77861.2734375,2.444679193354483,0.16921958327293396
11,76071.921875,2.4164249944890495,0.16224633157253265
12,74163.921875,2.3859287420538,0.15938352048397064
13,72495.71875,2.3589422289481554,0.1565966159105301
14,70919.953125,2.3331644201858395,0.1516071856021881
15,69495.0625,2.3096070682349352,0.1503467708826065
