k,inertia,cluster_rmse,silhouette_score
2,432488.59375,5.761670977451783,0.2514439821243286
3,345008.34375,5.1460727813921086,0.2304503470659256
4,311171.59375,4.887211084899396,0.19417603313922882
5,297055.0625,4.775068478676675,0.17794707417488098
6,284684.1875,4.6745821646629375,0.1599358767271042
7,277057.3125,4.611539507619409,0.15897183120250702
8,269431.8125,4.547634592663996,0.15861044824123383
9,262205.9375,4.486238788039463,0.12307178229093552
10,255259.3125,4.426412897665581,0.13308952748775482
11,249860.8125,4.379355479242439,0.13092295825481415
12,245730.328125,4.3430067598465785,0.12172113358974457
13,241014.75,4.301133633974219,0.12407519668340683
14,236216.8125,4.258106578986773,0.11968053132295609
15,232058.453125,4.2204603206476055,0.11910367012023926
