k,inertia,cluster_rmse,silhouette_score
2,278231.375,4.6213001448908235,0.27395302057266235
3,223393.484375,4.140915574017678,0.23591767251491547
4,204582.546875,3.962738510878975,0.19111473858356476
5,195135.78125,3.870165888889294,0.17701703310012817
6,187019.90625,3.788829328787911,0.16484737396240234
7,182170.046875,3.7393800792320273,0.12702177464962006
8,177526.53125,3.6914140317404693,0.122136689722538
9,173314.875,3.6473634704453075,0.13488303124904633
10,168749.3125,3.5990023574582257,0.12790445983409882
11,165890.640625,3.5683879750715946,0.11678988486528397
12,162208.375,3.5285620735692054,0.12069599330425262
13,159215.59375,3.495859142536794,0.11508681625127792
14,156269.828125,3.4633684175371964,0.11341571062803268
15,154139.21875,3.4396773116737784,0.11911483854055405
