epoch,accuracy,loss
1,0.8155737519264221,0.5788924694061279
2,0.8196721076965332,0.4975501298904419
3,0.8196721076965332,0.46268782019615173
4,0.8196721076965332,0.4492819607257843
5,0.8196721076965332,0.44595229625701904
6,0.8196721076965332,0.44492313265800476
7,0.8196721076965332,0.4437950551509857
8,0.8196721076965332,0.4436090290546417
9,0.8196721076965332,0.44413596391677856
10,0.8196721076965332,0.44256168603897095
11,0.8196721076965332,0.4422960579395294
12,0.8196721076965332,0.44099509716033936
13,0.8196721076965332,0.440228670835495
14,0.8196721076965332,0.4393317699432373
15,0.8196721076965332,0.43906503915786743
16,0.8196721076965332,0.43905091285705566
17,0.8196721076965332,0.4387790560722351
18,0.8196721076965332,0.43825405836105347
19,0.8196721076965332,0.4382152855396271
20,0.8196721076965332,0.43842434883117676
21,0.8196721076965332,0.43808993697166443
22,0.8196721076965332,0.43766599893569946
23,0.8196721076965332,0.4386810064315796
24,0.8196721076965332,0.4367973506450653
25,0.8196721076965332,0.4380778670310974
26,0.8196721076965332,0.43763458728790283
27,0.8196721076965332,0.4370019733905792
28,0.8196721076965332,0.4382267892360687
29,0.8196721076965332,0.43666812777519226
30,0.8196721076965332,0.436445951461792
31,0.8196721076965332,0.436695396900177
32,0.8196721076965332,0.43699386715888977
33,0.8196721076965332,0.4361651539802551
34,0.8196721076965332,0.43607965111732483
35,0.8196721076965332,0.43587130308151245
36,0.8196721076965332,0.4367336630821228
37,0.8196721076965332,0.4365658164024353
38,0.8196721076965332,0.4359029531478882
39,0.8196721076965332,0.43535807728767395
40,0.8196721076965332,0.43559902906417847
41,0.8196721076965332,0.4365854859352112
42,0.8196721076965332,0.43576592206954956
43,0.8196721076965332,0.43547847867012024
44,0.8196721076965332,0.43548575043678284
45,0.8196721076965332,0.43657007813453674
46,0.8196721076965332,0.4347648322582245
47,0.8196721076965332,0.43516960740089417
48,0.8196721076965332,0.4356083273887634
49,0.8196721076965332,0.43518000841140747
50,0.8196721076965332,0.4344800114631653
