epoch,accuracy,loss,val_accuracy,val_loss
1,0.4814814925193786,0.701091468334198,0.8194444179534912,0.5266614556312561
2,0.8626543283462524,0.419776976108551,0.9583333134651184,0.3168870508670807
3,0.9660493731498718,0.2253433316946029,0.9722222089767456,0.1721978336572647
4,0.9861111044883728,0.1114300638437271,0.9861111044883728,0.1000947207212448
5,0.9969135522842408,0.0600090846419334,0.9861111044883728,0.0679074004292488
6,0.9969135522842408,0.0377535335719585,0.9861111044883728,0.0539463236927986
