epoch,accuracy,loss,val_loss
1,0.552173912525177,0.7041900157928467,0.6410107016563416
2,0.9195652008056641,0.5938614010810852,0.5532113313674927
3,0.9434782862663269,0.49527472257614136,0.4510108232498169
4,0.9413043260574341,0.3871045708656311,0.35525867342948914
5,0.9413043260574341,0.287998765707016,0.28602293133735657
6,0.9434782862663269,0.21805092692375183,0.25322598218917847
7,0.945652186870575,0.17995035648345947,0.2449280321598053
8,0.945652186870575,0.159477099776268,0.24544522166252136
9,0.945652186870575,0.1495540291070938,0.24718162417411804
10,0.9434782862663269,0.14351525902748108,0.2506261467933655
11,0.947826087474823,0.13900607824325562,0.25140008330345154
12,0.9521738886833191,0.13841615617275238,0.24869197607040405
13,0.945652186870575,0.1360498070716858,0.24944542348384857
14,0.947826087474823,0.13263137638568878,0.254419207572937
15,0.9434782862663269,0.13387271761894226,0.25442367792129517
16,0.949999988079071,0.13780775666236877,0.25829675793647766
17,0.947826087474823,0.13212625682353973,0.25891318917274475
18,0.945652186870575,0.131083682179451,0.25705745816230774
19,0.949999988079071,0.1285579800605774,0.25732600688934326
20,0.949999988079071,0.1288222372531891,0.2467690259218216
21,0.945652186870575,0.1297517567873001,0.2555813491344452
22,0.9521738886833191,0.1268925815820694,0.23871999979019165
23,0.95652174949646,0.12763817608356476,0.2567504644393921
24,0.949999988079071,0.12597906589508057,0.24948766827583313
25,0.949999988079071,0.12679322063922882,0.24543637037277222
26,0.9543478488922119,0.13314494490623474,0.2613184154033661
27,0.9521738886833191,0.12476636469364166,0.24564769864082336
28,0.947826087474823,0.1276005059480667,0.2541569471359253
29,0.947826087474823,0.12807048857212067,0.24761340022087097
30,0.947826087474823,0.12472423166036606,0.24675534665584564
31,0.9543478488922119,0.125342458486557,0.241287499666214
32,0.949999988079071,0.1245507150888443,0.24295316636562347
33,0.949999988079071,0.12429416179656982,0.24616728723049164
34,0.947826087474823,0.12323927134275436,0.24461729824543
35,0.95652174949646,0.12798656523227692,0.2373872548341751
36,0.947826087474823,0.12305405735969543,0.23857678472995758
37,0.9521738886833191,0.12340284138917923,0.24823814630508423
38,0.949999988079071,0.12263400107622147,0.23924994468688965
39,0.9543478488922119,0.1235642284154892,0.2455689013004303
40,0.947826087474823,0.12152811139822006,0.25584876537323
41,0.9521738886833191,0.12373102456331253,0.24061506986618042
42,0.9543478488922119,0.12599459290504456,0.2500801384449005
43,0.949999988079071,0.12370810657739639,0.2303408831357956
44,0.9434782862663269,0.1285085380077362,0.24877484142780304
45,0.947826087474823,0.12300800532102585,0.24775396287441254
46,0.9521738886833191,0.12520232796669006,0.24674615263938904
47,0.949999988079071,0.1208590492606163,0.2459145337343216
48,0.9521738886833191,0.12124225497245789,0.24573904275894165
49,0.949999988079071,0.12028377503156662,0.23215645551681519
50,0.9521738886833191,0.12196868658065796,0.23887497186660767
