epoch,loss
1,1.1473727226257324
2,1.0355393886566162
3,1.0157296657562256
4,1.006865382194519
5,0.9992188811302185
6,0.9904482364654541
7,0.9786057472229004
8,0.9635355472564697
9,0.942270815372467
10,0.9157868027687073
11,0.8881698846817017
12,0.8631281852722168
13,0.8444136381149292
14,0.8301143646240234
15,0.8197440505027771
16,0.8122897148132324
17,0.8052384257316589
18,0.800194501876831
19,0.7959707975387573
20,0.7927050590515137
21,0.7905800342559814
22,0.7872254848480225
23,0.7854117155075073
24,0.7839179635047913
25,0.7823514938354492
26,0.7808555364608765
27,0.7798551917076111
28,0.7785861492156982
29,0.7780497074127197
30,0.7772960662841797
31,0.7760075330734253
32,0.7754502296447754
33,0.774755597114563
34,0.7740104794502258
35,0.7730551958084106
36,0.772402286529541
37,0.7716854214668274
38,0.7709192037582397
39,0.7703053951263428
40,0.7694639563560486
41,0.7688223123550415
42,0.7678605318069458
43,0.7672577500343323
44,0.7660614848136902
45,0.7653738856315613
46,0.7640860080718994
47,0.7628198266029358
48,0.7614395618438721
49,0.7590922713279724
50,0.7566719651222229
