epoch,loss
1,1.1075090169906616
2,1.0005412101745605
3,0.9867534637451172
4,0.978478193283081
5,0.9697966575622559
6,0.9584128856658936
7,0.9435287714004517
8,0.916041910648346
9,0.877680778503418
10,0.8314133882522583
11,0.7912728190422058
12,0.7621889710426331
13,0.7412191033363342
14,0.727104902267456
15,0.714914858341217
16,0.7061474323272705
17,0.6999879479408264
18,0.6942678689956665
19,0.6896448135375977
20,0.6860535740852356
21,0.6831474900245667
22,0.6799710392951965
23,0.6773911714553833
24,0.6753403544425964
25,0.6732810139656067
26,0.6715444326400757
27,0.6701560020446777
28,0.6687704920768738
29,0.6676743030548096
30,0.6664389371871948
31,0.6654930710792542
32,0.6645544171333313
33,0.663840651512146
34,0.6632665395736694
35,0.662550151348114
36,0.6619844436645508
37,0.6613411903381348
38,0.6609143018722534
39,0.660359799861908
40,0.6598283648490906
41,0.659409761428833
42,0.6588742733001709
43,0.6583767533302307
44,0.6581190824508667
45,0.6577963829040527
46,0.6576823592185974
47,0.6572821736335754
48,0.656909704208374
49,0.6565815210342407
50,0.6562725305557251
