epoch,average_accuracy,average_loss
1,0.658695638179779,0.5710919499397278
2,0.834782600402832,0.4284775853157043
3,0.905434787273407,0.35934844613075256
4,0.915217399597168,0.3040175288915634
5,0.91847825050354,0.26158150285482407
6,0.917391300201416,0.24519662559032435
7,0.917391300201416,0.2400923818349838
8,0.917391300201416,0.2352000251412391
9,0.915217399597168,0.23330254852771753
10,0.917391300201416,0.23387635499238965
11,0.917391300201416,0.2313624024391174
12,0.915217399597168,0.23051681369543076
13,0.916304349899292,0.22891563922166824
14,0.91847825050354,0.2290680930018425
15,0.91847825050354,0.22728452086448664
16,0.916304349899292,0.22908022999763486
17,0.917391300201416,0.22558241337537766
18,0.915217399597168,0.22748398780822754
19,0.917391300201416,0.22522356361150736
20,0.91847825050354,0.22613094002008433
21,0.916304349899292,0.22645560652017588
22,0.916304349899292,0.224711075425148
23,0.916304349899292,0.22358845174312586
24,0.916304349899292,0.22279296815395355
25,0.916304349899292,0.22374722361564633
26,0.917391300201416,0.22261749953031534
27,0.916304349899292,0.22250722348690027
28,0.917391300201416,0.2245787754654884
29,0.91847825050354,0.22405768930912012
30,0.916304349899292,0.2219464406371116
31,0.9195652008056641,0.2240526676177978
32,0.9195652008056641,0.2249818220734596
33,0.917391300201416,0.2211223617196083
34,0.91847825050354,0.22256959974765772
35,0.91847825050354,0.22113595902919767
36,0.91847825050354,0.2214602679014206
37,0.915217399597168,0.2228198572993278
38,0.91847825050354,0.2198805212974548
39,0.916304349899292,0.21994386613368988
40,0.9195652008056641,0.22092861682176584
41,0.915217399597168,0.21953989565372464
42,0.91847825050354,0.2206742614507675
43,0.916304349899292,0.22502960264682764
44,0.91847825050354,0.21917496621608734
45,0.916304349899292,0.21917755901813504
46,0.9195652008056641,0.21963845193386072
47,0.9195652306079865,0.2193937674164772
48,0.917391300201416,0.21766555309295654
49,0.916304349899292,0.22005475312471384
50,0.9195652008056641,0.21939626336097715
