epoch,accuracy,loss
1,0.7130434513092041,0.5804140567779541
2,0.8304347991943359,0.45414745807647705
3,0.8913043737411499,0.3626733422279358
4,0.928260862827301,0.29321858286857605
5,0.936956524848938,0.2545485198497772
6,0.939130425453186,0.23124457895755768
7,0.9347826242446899,0.21586914360523224
8,0.936956524848938,0.205636128783226
9,0.936956524848938,0.19854389131069183
10,0.939130425453186,0.19252420961856842
11,0.936956524848938,0.18990957736968994
12,0.939130425453186,0.18473213911056519
13,0.936956524848938,0.18240924179553986
14,0.936956524848938,0.17998360097408295
15,0.9413043260574341,0.17735832929611206
16,0.9434782862663269,0.17456884682178497
17,0.939130425453186,0.17221121490001678
18,0.936956524848938,0.17112970352172852
19,0.936956524848938,0.16914746165275574
20,0.939130425453186,0.17059046030044556
21,0.9347826242446899,0.1681586652994156
22,0.9413043260574341,0.1671045571565628
23,0.9413043260574341,0.1638721078634262
24,0.9413043260574341,0.1628173291683197
25,0.9347826242446899,0.17053085565567017
26,0.9413043260574341,0.16776956617832184
27,0.939130425453186,0.16099058091640472
28,0.9413043260574341,0.16334906220436096
29,0.9347826242446899,0.1696670800447464
30,0.939130425453186,0.16431789100170135
31,0.939130425453186,0.16300608217716217
32,0.9347826242446899,0.16592764854431152
33,0.9434782862663269,0.15778763592243195
34,0.9413043260574341,0.15892446041107178
35,0.939130425453186,0.15984392166137695
36,0.936956524848938,0.15869539976119995
37,0.9434782862663269,0.15722158551216125
38,0.9413043260574341,0.15860414505004883
39,0.936956524848938,0.16373564302921295
40,0.939130425453186,0.16095583140850067
41,0.9413043260574341,0.15323428809642792
42,0.9434782862663269,0.15428070724010468
43,0.936956524848938,0.1538858264684677
44,0.939130425453186,0.1508050113916397
45,0.9434782862663269,0.1523972749710083
46,0.9413043260574341,0.15176922082901
47,0.9413043260574341,0.1538211554288864
48,0.9347826242446899,0.16757822036743164
49,0.936956524848938,0.16381984949111938
50,0.9413043260574341,0.15161097049713135
