epoch,accuracy,loss
1,0.708695650100708,0.6170642375946045
2,0.804347813129425,0.4750812947750091
3,0.873913049697876,0.4008772373199463
4,0.8913043737411499,0.3471057713031769
5,0.897826075553894,0.3095528185367584
6,0.897826075553894,0.2977785766124725
7,0.897826075553894,0.2948052585124969
8,0.897826075553894,0.2907788455486297
9,0.893478274345398,0.2901265919208526
10,0.897826075553894,0.2896170318126678
11,0.897826075553894,0.2879828512668609
12,0.893478274345398,0.2883022725582123
13,0.895652174949646,0.2868475615978241
14,0.895652174949646,0.2871468961238861
15,0.897826075553894,0.285048633813858
16,0.893478274345398,0.2875885367393493
17,0.897826075553894,0.2836897671222687
18,0.893478274345398,0.2836478650569916
19,0.895652174949646,0.2824334800243377
20,0.897826075553894,0.2851193249225616
21,0.893478274345398,0.2851519286632538
22,0.893478274345398,0.2818244993686676
23,0.893478274345398,0.2813799083232879
24,0.895652174949646,0.2803190350532532
25,0.895652174949646,0.2800969183444977
26,0.893478274345398,0.2801660299301147
27,0.893478274345398,0.278942197561264
28,0.895652174949646,0.283444344997406
29,0.8999999761581421,0.2804960608482361
30,0.895652174949646,0.2792618572711944
31,0.897826075553894,0.2790122330188751
32,0.897826075553894,0.2793694138526916
33,0.895652174949646,0.2779127359390259
34,0.895652174949646,0.2782758176326751
35,0.897826075553894,0.2783851623535156
36,0.895652174949646,0.2777453362941742
37,0.893478274345398,0.2798654437065124
38,0.897826075553894,0.2773166000843048
39,0.893478274345398,0.2779042720794678
40,0.897826075553894,0.277273416519165
41,0.895652174949646,0.2770744562149048
42,0.897826075553894,0.2791193723678589
43,0.897826075553894,0.2791486084461212
44,0.895652174949646,0.2763408124446869
45,0.893478274345398,0.2761422991752624
46,0.8999999761581421,0.2775161266326904
47,0.895652174949646,0.2759966552257538
48,0.895652174949646,0.2746119797229767
49,0.895652174949646,0.2741261720657348
50,0.8999999761581421,0.2779013216495514
