epoch,accuracy,loss,val_accuracy,val_loss
1,0.6229507923126221,0.658013641834259,0.7142857313156128,0.618195116519928
2,0.7213114500045776,0.6063781380653381,0.6785714030265808,0.5884718298912048
3,0.7581967115402222,0.5702651739120483,0.75,0.5715643763542175
4,0.7786885499954224,0.5396807193756104,0.75,0.5560616254806519
5,0.7786885499954224,0.5112490653991699,0.7857142686843872,0.5455659627914429
6,0.7909836173057556,0.4873301386833191,0.7857142686843872,0.5386095643043518
7,0.7909836173057556,0.4710686206817627,0.7857142686843872,0.5367316007614136
8,0.7991803288459778,0.4600664973258972,0.7857142686843872,0.5351490378379822
9,0.7950819730758667,0.4518938958644867,0.7857142686843872,0.5333766341209412
10,0.8032786846160889,0.4453275501728058,0.7857142686843872,0.5316511988639832
