epoch,loss
1,1.2993879318237305
2,1.10413658618927
3,1.0313767194747925
4,1.010955810546875
5,1.0034633874893188
6,1.0000746250152588
7,0.9984424114227295
8,0.9971171617507935
9,0.9960334897041321
10,0.9951267838478088
11,0.9941809177398682
12,0.9932970404624939
13,0.9923588037490845
14,0.9914450645446777
15,0.9905582666397095
16,0.989648163318634
17,0.9887195229530334
18,0.9875114560127258
19,0.9863318800926208
20,0.9850451946258545
21,0.9836418032646179
22,0.981992244720459
23,0.9804689884185791
24,0.9779768586158752
25,0.9754709601402283
26,0.9727082848548889
27,0.9690435528755188
28,0.9652377367019653
29,0.9609808325767517
30,0.9560361504554749
31,0.9512668251991272
32,0.9453252553939819
33,0.9400457143783569
34,0.9347072243690491
35,0.9301087260246277
36,0.925368070602417
37,0.9213088750839233
38,0.9165712594985962
39,0.912362277507782
40,0.9094555377960205
41,0.9069437980651855
42,0.9045360088348389
43,0.9021767377853394
44,0.9003456830978394
45,0.8983492255210876
46,0.896506667137146
47,0.8950309753417969
48,0.8931467533111572
49,0.891656219959259
50,0.8908425569534302
