epoch,loss
1,1.2042509317398071
2,1.0688775777816772
3,1.0257899761199951
4,1.0144621133804321
5,1.010225534439087
6,1.0076735019683838
7,1.0063626766204834
8,1.0050164461135864
9,1.0036746263504028
10,1.0020860433578491
11,1.0001111030578613
12,0.9978991150856018
13,0.9953940510749817
14,0.992730438709259
15,0.9895868897438049
16,0.9856314659118652
17,0.9809648990631104
18,0.9757192134857178
19,0.9684102535247803
20,0.9610037207603455
21,0.9508353471755981
22,0.9383174777030945
23,0.9261142611503601
24,0.9138535857200623
25,0.9019179940223694
26,0.8900672793388367
27,0.8797488808631897
28,0.8707448244094849
29,0.8626545667648315
30,0.8559984564781189
31,0.8498627543449402
32,0.8441885709762573
33,0.8395820260047913
34,0.8367469310760498
35,0.8324336409568787
36,0.8295013308525085
37,0.8266650438308716
38,0.823492705821991
39,0.8213088512420654
40,0.8201320767402649
41,0.8176015019416809
42,0.816097617149353
43,0.8149470090866089
44,0.8129820823669434
45,0.8119533061981201
46,0.8107791543006897
47,0.8094568252563477
48,0.8080810308456421
49,0.8066724538803101
50,0.805086076259613
