class_label,epoch,accuracy,loss
2,1,0.881147563457489,0.5481634736061096
2,2,0.881147563457489,0.4277949631214142
2,3,0.881147563457489,0.3572470247745514
2,4,0.881147563457489,0.3232356607913971
2,5,0.881147563457489,0.3072417080402374
2,6,0.881147563457489,0.3011611700057983
2,7,0.881147563457489,0.299393743276596
2,8,0.881147563457489,0.2976917028427124
2,9,0.881147563457489,0.2967421412467956
2,10,0.881147563457489,0.2958460748195648
2,11,0.881147563457489,0.2954075038433075
2,12,0.881147563457489,0.2949211895465851
2,13,0.881147563457489,0.2942554056644439
2,14,0.881147563457489,0.294254332780838
2,15,0.881147563457489,0.2940329611301422
2,16,0.881147563457489,0.2935321033000946
2,17,0.881147563457489,0.2937084138393402
2,18,0.881147563457489,0.2931207716464996
2,19,0.881147563457489,0.2926706075668335
2,20,0.881147563457489,0.2927781343460083
2,21,0.881147563457489,0.2927360236644745
2,22,0.881147563457489,0.2926656007766723
2,23,0.881147563457489,0.2941901981830597
2,24,0.881147563457489,0.2925153970718384
2,25,0.881147563457489,0.2922483086585998
2,26,0.881147563457489,0.292269766330719
2,27,0.881147563457489,0.2922999262809753
2,28,0.881147563457489,0.2923755645751953
2,29,0.881147563457489,0.2920927703380584
2,30,0.881147563457489,0.2924532890319824
2,31,0.881147563457489,0.2918022572994232
2,32,0.881147563457489,0.2925431430339813
2,33,0.881147563457489,0.2922448515892029
2,34,0.881147563457489,0.2921797931194305
2,35,0.881147563457489,0.2925304770469665
2,36,0.881147563457489,0.2923466563224792
2,37,0.881147563457489,0.2919882237911224
2,38,0.881147563457489,0.291688323020935
2,39,0.881147563457489,0.2919958829879761
2,40,0.881147563457489,0.2918474674224853
2,41,0.881147563457489,0.2915221750736236
2,42,0.881147563457489,0.2913726568222046
2,43,0.881147563457489,0.2921047806739807
2,44,0.881147563457489,0.2912381589412689
2,45,0.881147563457489,0.291790246963501
2,46,0.881147563457489,0.2914284169673919
2,47,0.881147563457489,0.2912102341651916
2,48,0.881147563457489,0.2912249267101288
2,49,0.881147563457489,0.2912636995315552
2,50,0.881147563457489,0.2913443148136139
