epoch,loss,val_loss
1,1.0919164419174194,0.9941651821136475
2,1.0069140195846558,0.9798223972320557
3,0.9994930028915405,0.9761216044425964
4,0.9964714646339417,0.9736521244049072
5,0.9941200017929077,0.9714800715446472
6,0.9920055270195007,0.9694671630859375
7,0.9900449514389038,0.9676041007041931
8,0.9881759285926819,0.9657886028289795
9,0.9863078594207764,0.9639585018157959
10,0.9842860102653503,0.9618556499481201
11,0.9818774461746216,0.959284782409668
12,0.9787293672561646,0.9558321833610535
13,0.974420428276062,0.9511117935180664
14,0.9688369631767273,0.9451842904090881
15,0.9621228575706482,0.9385668635368347
16,0.9553120732307434,0.9323388338088989
17,0.9488694667816162,0.9269826412200928
18,0.9434682726860046,0.9222172498703003
19,0.9391419291496277,0.9189321994781494
20,0.9352827668190002,0.9154748916625977
21,0.9322293400764465,0.9129607081413269
22,0.929617702960968,0.9110494256019592
23,0.9273340702056885,0.9090504050254822
24,0.9252206087112427,0.9074493050575256
25,0.9233089685440063,0.9062330722808838
26,0.9215909242630005,0.9050136208534241
27,0.920102059841156,0.9042767286300659
28,0.9186279773712158,0.9031063914299011
29,0.9173160195350647,0.9018827080726624
30,0.9161036014556885,0.9007468819618225
31,0.9149296283721924,0.8996548056602478
32,0.9137873649597168,0.8989468812942505
33,0.9125900268554688,0.8979837894439697
34,0.9113022685050964,0.8969196677207947
35,0.9099003076553345,0.8960254192352295
36,0.9083701372146606,0.8951816558837891
37,0.9067363142967224,0.8943127393722534
38,0.9050644040107727,0.8925896883010864
39,0.9033343195915222,0.8908178806304932
40,0.9015660285949707,0.8896461129188538
41,0.8998072147369385,0.8886942267417908
42,0.8981230854988098,0.8877203464508057
43,0.8964911699295044,0.8872470259666443
44,0.8949317336082458,0.8866779804229736
45,0.8934659361839294,0.8863382935523987
46,0.8922927379608154,0.8862321376800537
47,0.8913087248802185,0.8855082988739014
48,0.8905478715896606,0.8852517604827881
49,0.8898075222969055,0.8845705389976501
50,0.8892064094543457,0.884113073348999
