epoch,average_accuracy,average_loss
1,0.5133744855721791,0.7098871807257334
2,0.5808641980091731,0.6890334963798523
3,0.6051440368096034,0.6783623198668162
4,0.6183127492666245,0.6718884825706481
5,0.631069952249527,0.6669132530689239
6,0.6397119303544362,0.6626839896043142
7,0.6390946447849274,0.6590703666210175
8,0.6393004059791565,0.6557341317335764
9,0.6378600776195527,0.6526705205440522
10,0.6364197472731272,0.6498959044615428
11,0.6380658388137818,0.6469878236452739
12,0.6403292119503021,0.6440530141194661
13,0.6413580179214478,0.6417821884155274
14,0.6415637791156769,0.6395879526933034
15,0.6413580179214478,0.6374374409516652
16,0.6384773592154185,0.6353417615095774
17,0.6419753015041352,0.6336496273676554
18,0.643415633837382,0.6320420344670613
19,0.6419753015041352,0.6307467559973399
20,0.6430041094621023,0.6292669455210368
21,0.6438271542390187,0.6279966374238332
22,0.6446502010027567,0.6266297558943431
23,0.641769540309906,0.625917645295461
24,0.6438271542390187,0.6248030702273051
25,0.6440329154332479,0.6242068012555441
26,0.6446501970291137,0.6234275261561076
27,0.6452674806118012,0.6227843145529429
28,0.6456790089607238,0.6221086661020915
29,0.6456790089607238,0.622053200006485
30,0.6448559621969859,0.6217683513959249
31,0.6452674865722656,0.6219601412614186
32,0.6460905313491822,0.620903875430425
33,0.6458847681681316,0.6206766188144683
34,0.6458847681681316,0.6205259521802267
35,0.6473251024881999,0.6199924349784851
36,0.6456790089607238,0.6203773617744446
37,0.6452674865722656,0.6195667604605357
38,0.6448559661706289,0.6197263936201731
39,0.6452674885590871,0.6193276544411978
40,0.6438271601994833,0.6189140995343526
41,0.6423868298530578,0.6195145130157471
42,0.6462962905565898,0.618349023660024
43,0.646707812945048,0.618458898862203
44,0.6460905333360036,0.6187304635842641
45,0.6473250985145569,0.6187130550543467
46,0.645061727364858,0.6187289893627167
47,0.639300407965978,0.6186523377895355
48,0.6462962925434113,0.6179952681064605
49,0.6458847681681316,0.6175119856993357
50,0.6456790089607238,0.617495733499527
