epoch,accuracy,loss
1,0.3827160596847534,0.7060219049453735
2,0.4691357910633087,0.6934844255447388
3,0.5740740895271301,0.6849602460861206
4,0.6481481194496155,0.6789910793304443
5,0.654321014881134,0.6744517087936401
6,0.654321014881134,0.6717191934585571
7,0.654321014881134,0.6692208051681519
8,0.654321014881134,0.6649379730224609
9,0.654321014881134,0.6601853966712952
10,0.654321014881134,0.6556670665740967
11,0.6481481194496155,0.6528474688529968
12,0.6419752836227417,0.6489323973655701
13,0.6481481194496155,0.6466734409332275
14,0.6481481194496155,0.6423366665840149
15,0.6481481194496155,0.6385780572891235
16,0.6481481194496155,0.6352618932723999
17,0.6481481194496155,0.6336793899536133
18,0.654321014881134,0.6317758560180664
19,0.6481481194496155,0.6279767155647278
20,0.654321014881134,0.627571165561676
21,0.654321014881134,0.627173900604248
22,0.654321014881134,0.6252949833869934
23,0.6481481194496155,0.6223838329315186
24,0.6481481194496155,0.6240642666816711
25,0.6481481194496155,0.622036337852478
26,0.6481481194496155,0.6241658329963684
27,0.6481481194496155,0.6201163530349731
28,0.6481481194496155,0.6205865144729614
29,0.6481481194496155,0.6230990290641785
30,0.6481481194496155,0.6236293911933899
31,0.6481481194496155,0.6229075193405151
32,0.6481481194496155,0.6207965612411499
33,0.6481481194496155,0.621078372001648
34,0.6481481194496155,0.6208819150924683
35,0.654321014881134,0.6193203330039978
36,0.6481481194496155,0.6206995844841003
37,0.6481481194496155,0.6190145611763
38,0.654321014881134,0.6193534731864929
39,0.654321014881134,0.620454728603363
40,0.654321014881134,0.619245707988739
41,0.6481481194496155,0.6222765445709229
42,0.6481481194496155,0.6218872666358948
43,0.6481481194496155,0.6190102100372314
44,0.654321014881134,0.6204991936683655
45,0.654321014881134,0.6208006143569946
46,0.654321014881134,0.6189705729484558
47,0.654321014881134,0.6210349798202515
48,0.654321014881134,0.6189526915550232
49,0.6419752836227417,0.6199579834938049
50,0.6481481194496155,0.6210449934005737
