epoch,accuracy,loss,val_accuracy,val_loss
1,0.8752860426902771,0.5007044672966003,0.8775510191917419,0.3857469856739044
2,0.8752860426902771,0.33660888671875,0.8775510191917419,0.32524362206459045
3,0.8752860426902771,0.2959297001361847,0.8775510191917419,0.30717241764068604
4,0.8752860426902771,0.26754528284072876,0.8775510191917419,0.29625239968299866
5,0.8752860426902771,0.24869728088378906,0.8775510191917419,0.2938453257083893
6,0.8752860426902771,0.23792977631092072,0.8673469424247742,0.2944139242172241
7,0.8775743842124939,0.23122596740722656,0.8673469424247742,0.2954791784286499
8,0.8878718614578247,0.22659318149089813,0.8673469424247742,0.29624807834625244
9,0.8878718614578247,0.22293713688850403,0.8571428656578064,0.29678142070770264
10,0.8878718614578247,0.22005526721477509,0.8367347121238708,0.2973545491695404
11,0.8924484848976135,0.21751853823661804,0.8265306353569031,0.29698672890663147
12,0.8924484848976135,0.2152101844549179,0.8265306353569031,0.2966347634792328
13,0.8981693387031555,0.21291442215442657,0.8265306353569031,0.29613032937049866
14,0.8981693387031555,0.21047386527061462,0.8163265585899353,0.2950609624385834
15,0.8993135094642639,0.2081926316022873,0.8163265585899353,0.2946314811706543
16,0.9004576802253723,0.20589406788349152,0.8163265585899353,0.2931961417198181
17,0.8993135094642639,0.20375141501426697,0.8163265585899353,0.2921369671821594
18,0.9016018509864807,0.20161734521389008,0.8163265585899353,0.29095420241355896
19,0.8993135094642639,0.19956156611442566,0.8163265585899353,0.2894423305988312
20,0.9016018509864807,0.19746819138526917,0.8163265585899353,0.28847888112068176
21,0.9038901329040527,0.19546490907669067,0.8163265585899353,0.2871565520763397
22,0.9061784744262695,0.19345839321613312,0.8163265585899353,0.2862291634082794
23,0.9073226451873779,0.1913737654685974,0.8265306353569031,0.2850770354270935
24,0.9096109867095947,0.18931041657924652,0.8367347121238708,0.28361237049102783
25,0.9107551574707031,0.18743669986724854,0.8367347121238708,0.28256943821907043
26,0.9130434989929199,0.18543662130832672,0.8469387888908386,0.2809702754020691
27,0.9141876697540283,0.18350821733474731,0.8571428656578064,0.27892211079597473
28,0.9153317809104919,0.18136776983737946,0.8673469424247742,0.2771223783493042
29,0.9141876697540283,0.1793450117111206,0.8673469424247742,0.275600790977478
30,0.9141876697540283,0.1772596836090088,0.8673469424247742,0.274046927690506
31,0.9153317809104919,0.1751542091369629,0.8775510191917419,0.27219605445861816
32,0.9164759516716003,0.17332027852535248,0.8775510191917419,0.2716265618801117
33,0.9164759516716003,0.1715085655450821,0.8775510191917419,0.270434707403183
34,0.9164759516716003,0.17000675201416016,0.8775510191917419,0.27101582288742065
35,0.9153317809104919,0.16823641955852509,0.8877550959587097,0.26941442489624023
36,0.9164759516716003,0.1667231172323227,0.8877550959587097,0.26967644691467285
37,0.9176201224327087,0.1651872992515564,0.8877550959587097,0.2692152261734009
38,0.9164759516716003,0.16362114250659943,0.8877550959587097,0.26842793822288513
39,0.9153317809104919,0.1622226983308792,0.8877550959587097,0.26791152358055115
40,0.9164759516716003,0.16052809357643127,0.8877550959587097,0.2676960229873657
41,0.9187642931938171,0.15898974239826202,0.8979591727256775,0.2662737965583801
42,0.9187642931938171,0.1577189415693283,0.8979591727256775,0.26598405838012695
43,0.9199084639549255,0.1564187854528427,0.8979591727256775,0.2661471962928772
44,0.9210526347160339,0.15485969185829163,0.8979591727256775,0.2648606598377228
45,0.9210526347160339,0.15354174375534058,0.8979591727256775,0.2648479640483856
46,0.9221968054771423,0.15228399634361267,0.8979591727256775,0.26482677459716797
47,0.9233409762382507,0.15077902376651764,0.9081632494926453,0.2637738287448883
48,0.9256293177604675,0.14960753917694092,0.9081632494926453,0.26387956738471985
49,0.9244851469993591,0.14841818809509277,0.8979591727256775,0.2631964087486267
50,0.9256293177604675,0.14709646999835968,0.9081632494926453,0.26213374733924866
