epoch,accuracy,loss
1,0.4135802388191223,0.7156146764755249
2,0.5555555820465088,0.673923134803772
3,0.654321014881134,0.6513976454734802
4,0.6604938507080078,0.6347759366035461
5,0.6666666865348816,0.6228879690170288
6,0.6666666865348816,0.615027129650116
7,0.6666666865348816,0.6080487966537476
8,0.6666666865348816,0.6038014888763428
9,0.6666666865348816,0.6004246473312378
10,0.6666666865348816,0.5985519886016846
11,0.6604938507080078,0.5955561399459839
12,0.6604938507080078,0.5937777161598206
13,0.6604938507080078,0.5917978882789612
14,0.6604938507080078,0.5916021466255188
15,0.6604938507080078,0.5905889868736267
16,0.6604938507080078,0.5887848734855652
17,0.6666666865348816,0.5887329578399658
18,0.6728395223617554,0.5885865688323975
19,0.6790123581886292,0.5875594019889832
20,0.6728395223617554,0.5894170999526978
21,0.6666666865348816,0.5908416509628296
22,0.6666666865348816,0.5899019837379456
23,0.6666666865348816,0.5895140767097473
24,0.6666666865348816,0.5888773202896118
25,0.6728395223617554,0.5874520540237427
26,0.6790123581886292,0.587228000164032
27,0.6728395223617554,0.5871719121932983
28,0.6666666865348816,0.5868540406227112
29,0.6666666865348816,0.5874630808830261
30,0.6666666865348816,0.5868886113166809
31,0.6666666865348816,0.5862999558448792
32,0.6790123581886292,0.5858868956565857
33,0.6790123581886292,0.5853478312492371
34,0.6790123581886292,0.585413932800293
35,0.6790123581886292,0.5854437351226807
36,0.6790123581886292,0.5848270058631897
37,0.6790123581886292,0.5848721861839294
38,0.6790123581886292,0.5856549739837646
39,0.6728395223617554,0.5850640535354614
40,0.6728395223617554,0.5853176712989807
41,0.6790123581886292,0.5847517251968384
42,0.6851851940155029,0.5852897763252258
43,0.6790123581886292,0.5847578048706055
44,0.6728395223617554,0.5849866271018982
45,0.6728395223617554,0.584323525428772
46,0.6728395223617554,0.5841531753540039
47,0.6666666865348816,0.5844205617904663
48,0.6666666865348816,0.5863662362098694
49,0.6728395223617554,0.5862761735916138
50,0.6666666865348816,0.584892988204956
