epoch,accuracy,loss
1,0.6358024477958679,0.6871348023414612
2,0.654321014881134,0.6843594908714294
3,0.6604938507080078,0.6811733841896057
4,0.6481481194496155,0.6799421310424805
5,0.6481481194496155,0.6772463321685791
6,0.6481481194496155,0.6761379241943359
7,0.6481481194496155,0.6753418445587158
8,0.6481481194496155,0.6713778972625732
9,0.6481481194496155,0.6672798991203308
10,0.6481481194496155,0.6646284461021423
11,0.6481481194496155,0.6622464656829834
12,0.6481481194496155,0.6605645418167114
13,0.6481481194496155,0.6570418477058411
14,0.6481481194496155,0.6543602347373962
15,0.6481481194496155,0.6515175104141235
16,0.6481481194496155,0.6484684944152832
17,0.6481481194496155,0.6449288129806519
18,0.6481481194496155,0.642375111579895
19,0.6481481194496155,0.6406866908073425
20,0.6481481194496155,0.6396613121032715
21,0.6481481194496155,0.6371753215789795
22,0.6481481194496155,0.6349901556968689
23,0.5864197611808777,0.63851398229599
24,0.6481481194496155,0.627144455909729
25,0.6481481194496155,0.6356303095817566
26,0.6481481194496155,0.6311720609664917
27,0.6481481194496155,0.6288171410560608
28,0.6481481194496155,0.6262893080711365
29,0.6481481194496155,0.6247283220291138
30,0.6481481194496155,0.6242234706878662
31,0.6481481194496155,0.6276306509971619
32,0.6481481194496155,0.6247808337211609
33,0.6481481194496155,0.6240668296813965
34,0.6481481194496155,0.6228600144386292
35,0.6481481194496155,0.6201657652854919
36,0.6481481194496155,0.6235865354537964
37,0.6481481194496155,0.6239768862724304
38,0.6481481194496155,0.6223940253257751
39,0.6481481194496155,0.623134195804596
40,0.6481481194496155,0.620587944984436
41,0.6481481194496155,0.6211932301521301
42,0.6481481194496155,0.6188613772392273
43,0.6481481194496155,0.6204691529273987
44,0.6481481194496155,0.6174299716949463
45,0.6481481194496155,0.6244673728942871
46,0.6234567761421204,0.6248827576637268
47,0.5802469253540039,0.6294206380844116
48,0.6481481194496155,0.618960976600647
49,0.6481481194496155,0.6168428659439087
50,0.6481481194496155,0.6220744848251343
