epoch,loss
1,1.2030338048934937
2,1.1017487049102783
3,1.0497815608978271
4,1.0270637273788452
5,1.01760733127594
6,1.0131052732467651
7,1.0104453563690186
8,1.00851309299469
9,1.0071443319320679
10,1.0061335563659668
11,1.0052958726882935
12,1.0044628381729126
13,1.0037399530410767
14,1.0031381845474243
15,1.0023893117904663
16,1.0018295049667358
17,1.0012075901031494
18,1.0006698369979858
19,1.0001270771026611
20,0.9995818734169006
21,0.9990308880805969
22,0.9985666871070862
23,0.997857928276062
24,0.9973172545433044
25,0.9964419007301331
26,0.995833694934845
27,0.9954555034637451
28,0.9947251677513123
29,0.9939951300621033
30,0.9933596253395081
31,0.9926719069480896
32,0.9919097423553467
33,0.9911279678344727
34,0.9902234673500061
35,0.9892920255661011
36,0.98822021484375
37,0.9871438145637512
38,0.9859018325805664
39,0.9848254323005676
40,0.9834796190261841
41,0.981760561466217
42,0.9799635410308838
43,0.9778724908828735
44,0.9757055640220642
45,0.973531186580658
46,0.9708594679832458
47,0.968143880367279
48,0.9653721451759338
49,0.9624987244606018
50,0.9598383903503418
