epoch,accuracy,loss,val_accuracy,val_loss
1,0.7860412001609802,0.5040220618247986,0.8775510191917419,0.353153258562088
2,0.8752860426902771,0.3544112145900726,0.8775510191917419,0.3199565410614013
3,0.8752860426902771,0.3335083127021789,0.8775510191917419,0.3037289679050445
4,0.8752860426902771,0.3184849619865417,0.8775510191917419,0.2903593182563782
5,0.8752860426902771,0.3074406385421753,0.8775510191917419,0.2816089987754822
6,0.8752860426902771,0.2998838722705841,0.8775510191917419,0.2759925723075866
7,0.8752860426902771,0.2940041422843933,0.8775510191917419,0.2714166343212127
8,0.8752860426902771,0.2889335751533508,0.8775510191917419,0.2679755985736847
9,0.8752860426902771,0.2845742404460907,0.8775510191917419,0.2654832303524017
10,0.8752860426902771,0.2808019816875458,0.8775510191917419,0.2637570798397064
11,0.8752860426902771,0.2774524390697479,0.8775510191917419,0.262290745973587
12,0.8752860426902771,0.2743997871875763,0.8775510191917419,0.2611973881721496
13,0.8752860426902771,0.27152881026268,0.8775510191917419,0.2604853510856628
14,0.8752860426902771,0.2685235440731048,0.8775510191917419,0.2604098320007324
15,0.8752860426902771,0.2657650411128998,0.8775510191917419,0.2595549523830414
16,0.8764302134513855,0.263055145740509,0.8775510191917419,0.2592845261096954
17,0.8764302134513855,0.2604996860027313,0.8775510191917419,0.2594107091426849
18,0.8764302134513855,0.257943719625473,0.8775510191917419,0.2588502466678619
19,0.8775743842124939,0.2552414536476135,0.8775510191917419,0.2584028244018554
20,0.8821510076522827,0.2527700960636139,0.8775510191917419,0.2572979927062988
21,0.8832951784133911,0.2503900825977325,0.8877550959587097,0.2567013800144195
22,0.8810068368911743,0.2481248676776886,0.8877550959587097,0.2562641501426697
23,0.8821510076522827,0.2459183633327484,0.8877550959587097,0.2559294104576111
24,0.8821510076522827,0.2437823563814163,0.8775510191917419,0.2546560168266296
25,0.8821510076522827,0.2418451309204101,0.8877550959587097,0.2556454241275787
26,0.8855835199356079,0.2398244440555572,0.8877550959587097,0.2551627159118652
27,0.8855835199356079,0.2380250394344329,0.8877550959587097,0.2552163898944855
28,0.8890160322189331,0.2360127121210098,0.8877550959587097,0.2543686926364898
29,0.8890160322189331,0.2345847934484481,0.8877550959587097,0.2544266581535339
30,0.8913043737411499,0.232631042599678,0.8877550959587097,0.2530272305011749
31,0.8913043737411499,0.2313776761293411,0.8877550959587097,0.2527487576007843
32,0.8901602029800415,0.2296444624662399,0.8877550959587097,0.2522542476654053
33,0.8890160322189331,0.227994367480278,0.8775510191917419,0.2512152194976806
34,0.8890160322189331,0.2267791777849197,0.8775510191917419,0.2510798573493957
35,0.8878718614578247,0.2252781093120575,0.8775510191917419,0.2502516210079193
36,0.8901602029800415,0.2242349833250045,0.8877550959587097,0.2506628632545471
37,0.8890160322189331,0.2226970791816711,0.8877550959587097,0.2501817345619201
38,0.8878718614578247,0.2217765897512436,0.8673469424247742,0.2511202991008758
39,0.8878718614578247,0.2201295346021652,0.8673469424247742,0.2502657175064087
40,0.8855835199356079,0.2194814383983612,0.8571428656578064,0.2506634593009949
41,0.8867276906967163,0.2179280519485473,0.8673469424247742,0.2502910196781158
42,0.8867276906967163,0.2170832306146621,0.8571428656578064,0.249371662735939
43,0.8913043737411499,0.2160065770149231,0.8673469424247742,0.2491364032030105
44,0.8890160322189331,0.2149305045604705,0.8673469424247742,0.2481341212987899
45,0.8913043737411499,0.213834211230278,0.8673469424247742,0.2471818327903747
46,0.8913043737411499,0.2131291925907135,0.8673469424247742,0.2459928691387176
47,0.8924484848976135,0.2118504047393798,0.8775510191917419,0.2442874461412429
48,0.8913043737411499,0.2110239863395691,0.8775510191917419,0.2433296293020248
49,0.8958809971809387,0.2100362479686737,0.8775510191917419,0.2435457706451416
50,0.8970251679420471,0.2090241760015487,0.8775510191917419,0.242876797914505
