epoch,average_accuracy,average_val_accuracy,average_loss,average_val_loss
1,0.6119162440299988,0.6571428775787354,0.6476764678955078,0.5966235995292664
2,0.6505635976791382,0.6571428775787354,0.5849130153656006,0.5536095499992371
3,0.6795490980148315,0.7142857313156128,0.5548074841499329,0.5217362642288208
4,0.7536231875419617,0.7571428418159485,0.5271373987197876,0.4969093799591064
5,0.761674702167511,0.7857142686843872,0.5102205872535706,0.4829618036746979
6,0.7681159377098083,0.8142856955528259,0.500139594078064,0.475744366645813
7,0.7648953199386597,0.8285714387893677,0.4948063492774963,0.4724456667900085
8,0.7648953199386597,0.8285714387893677,0.4916890859603882,0.4709833562374115
9,0.7648953199386597,0.8285714387893677,0.489506334066391,0.4702589809894562
10,0.7648953199386597,0.8285714387893677,0.4877239763736725,0.4697309136390686
