k,inertia,cluster_rmse,silhouette_score
2,2915.886474609375,3.286271372785619,0.1718752682209015
3,2680.857177734375,3.151047549351717,0.12780193984508514
4,2534.3310546875,3.0637250714868993,0.10630954802036285
5,2395.742919921875,2.978778596276765,0.1017095223069191
6,2281.94189453125,2.9071698688607857,0.09927883744239807
7,2191.695556640625,2.849103534538686,0.10665111243724823
8,2122.45654296875,2.803738603925751,0.11440161615610123
9,2051.095703125,2.7562022335661105,0.11109653115272522
10,1981.5430908203125,2.7090678257510787,0.10424866527318954
11,1934.05615234375,2.6764100834151856,0.10503815859556198
12,1897.49755859375,2.650993914653975,0.11561015248298645
13,1859.901611328125,2.6245998716757692,0.11927231401205063
14,1802.77783203125,2.583980443704842,0.10685370862483978
15,1754.51708984375,2.549158967947221,0.12245394289493561
