epoch,loss,val_loss
1,1.0915031433105469,0.9653054475784302
2,1.0010241270065308,0.9519057869911194
3,0.9939107298851013,0.9492259621620178
4,0.9914827942848206,0.9479377269744873
5,0.9901564717292786,0.9472050070762634
6,0.9892922043800354,0.9466536641120911
7,0.9886208772659302,0.9462138414382935
8,0.988031268119812,0.9458052515983582
9,0.9874780774116516,0.9453503489494324
10,0.9869271516799927,0.9448511600494385
11,0.9863758087158203,0.9443339109420776
12,0.9858236312866211,0.94380122423172
13,0.9852617979049683,0.943232536315918
14,0.9846885800361633,0.9426787495613098
15,0.9841219186782837,0.9421160221099854
16,0.9835560321807861,0.9415649771690369
17,0.982970654964447,0.9409749507904053
18,0.9823384881019592,0.9402968287467957
19,0.9816156029701233,0.9395323991775513
20,0.9807672500610352,0.9386322498321533
21,0.9797454476356506,0.9375455379486084
22,0.978493869304657,0.9363176822662354
23,0.9769616723060608,0.9348125457763672
24,0.9750872850418091,0.9330107569694519
25,0.972899854183197,0.9311243891716003
26,0.9704602360725403,0.9289292097091675
27,0.9679279923439026,0.9267821907997131
28,0.9654880166053772,0.924849808216095
29,0.9632672071456909,0.9231469631195068
30,0.961340606212616,0.921752393245697
31,0.959621787071228,0.9204326272010803
32,0.9581853747367859,0.9194665551185608
33,0.9570050835609436,0.9184246063232422
34,0.9560373425483704,0.9176525473594666
35,0.9552229642868042,0.9169096350669861
36,0.9545238018035889,0.9164578318595886
37,0.9539244771003723,0.9158203601837158
38,0.9533812999725342,0.9153625965118408
39,0.952893853187561,0.9148916602134705
40,0.9524509906768799,0.9144356846809387
41,0.9520294666290283,0.9140260219573975
42,0.9516364336013794,0.9136030673980713
43,0.9512441158294678,0.9132047295570374
44,0.9508486986160278,0.9128232598304749
45,0.9504420161247253,0.912362813949585
46,0.9499771595001221,0.9118872880935669
47,0.9494789242744446,0.9113798141479492
48,0.9489260911941528,0.9108686447143555
49,0.9482513070106506,0.9102103114128113
50,0.9474483728408813,0.9093350172042847
