k,inertia,cluster_rmse,silhouette_score
2,3260.476806640625,3.2803428977572984,0.17535896599292755
3,2994.80078125,3.143856065601783,0.12924832105636597
4,2792.965576171875,3.0360678800356893,0.13258479535579681
5,2665.7607421875,2.9661237732506334,0.12787070870399475
6,2543.41748046875,2.8972602743379134,0.1172897070646286
7,2454.901123046875,2.84639840929641,0.10426060110330582
8,2358.64208984375,2.7900353628972154,0.10657311230897903
9,2305.843505859375,2.7586309238086413,0.1052820086479187
10,2231.1201171875,2.7135645800296975,0.11163585633039474
11,2173.3896484375,2.6782276098488653,0.1101309284567833
12,2132.50927734375,2.652919978754682,0.10164137184619904
13,2051.64599609375,2.6021354495873528,0.11894470453262329
14,2033.228271484375,2.59042937142306,0.10650589317083359
15,1984.645751953125,2.559294039387291,0.11727797985076904
