k,inertia,cluster_rmse,silhouette_score
2,1612742.5,89.79817648482624,0.18991327285766602
3,1404743.5,83.80762196841049,0.16979862749576569
4,1326047.75,81.42627800655019,0.16930149495601654
5,1267645.75,79.61299360029115,0.17646177113056183
6,1237360.25,78.65622194079754,0.13504546880722046
7,1188478.0,77.08689901662927,0.1469823122024536
8,1165062.125,76.32372255727573,0.16130800545215607
9,1139219.625,75.47249913047798,0.09744709730148315
10,1128274.75,75.10907901179458,0.08986660838127136
11,1104973.75,74.32946084830698,0.14861613512039185
12,1089883.75,73.82017847445236,0.12179149687290192
13,1070739.875,73.1689782284815,0.06336729973554611
14,1047990.875,72.38752914003904,0.10409848392009735
15,1040366.375,72.12372615859499,0.07982981950044632
