k,inertia,silhouette_score
2,14105.40234375,0.1814686506986618
3,12544.32421875,0.17475396394729614
4,11583.388671875,0.16785778105258942
5,10814.66015625,0.14053548872470856
6,10132.537109375,0.1465301662683487
7,9688.6396484375,0.14030060172080994
8,9175.8525390625,0.1502823382616043
9,8751.34375,0.1504492461681366
10,8654.8125,0.14195892214775085
