epoch,average_accuracy,average_loss
1,0.6584699460864066,0.6292963455120723
2,0.827896177570025,0.513909473021825
3,0.8629234997431435,0.44430412491162624
4,0.8695901644229892,0.3985208997130394
5,0.8733606584866841,0.36853309979041415
6,0.8743169430891672,0.34995859583218897
7,0.8741530076662701,0.3390477960308392
8,0.8746174887816109,0.33209005892276766
9,0.8745081988970439,0.32745439032713564
10,0.8746721331278482,0.3240554918845494
11,0.8747541014353432,0.32159279813369124
12,0.8748633901278176,0.31955411761999125
13,0.8750273247559865,0.3180443090200424
14,0.8751092926661171,0.3167397906879585
15,0.8751366146405535,0.31556057050824166
16,0.8753278720378875,0.3145427065591017
17,0.875355194012324,0.31371707364916807
18,0.8754371611277262,0.3128542906542619
19,0.8755191286404927,0.31223168427745496
20,0.875464483499527,0.3116016127169132
21,0.8755191286404925,0.31107614964246755
22,0.8759016422430673,0.31043488288919124
23,0.8756557404994966,0.30987434700131417
24,0.8756557404994965,0.3093246304988861
25,0.8756557404994963,0.3090036506454151
26,0.8757923523585002,0.30844483961661656
27,0.8758469971021018,0.3082245135804016
28,0.8757923527558646,0.30782345498601593
29,0.875956286986669,0.3074224532643954
30,0.8760655760765077,0.3070837805668513
31,0.8757650303840638,0.30669017940759663
32,0.8759289642175041,0.3063960523406664
33,0.8761202212174733,0.30605878616372745
34,0.8759289638201396,0.3059854968885581
35,0.8759836089611054,0.30547570958733555
36,0.8759836093584696,0.3053910181423028
37,0.8759289650122323,0.305024623721838
38,0.876092899243037,0.30482447892427444
39,0.8762841558456421,0.30453637763857844
40,0.8763114786148071,0.3043269677460193
41,0.8761202208201091,0.3040865927437941
42,0.8759836093584696,0.3037235663334528
43,0.8763388009866078,0.30367173706491785
44,0.8762021887302398,0.30339952369531
45,0.8761748667558035,0.30358390480279923
46,0.8761475439866383,0.3031501077612242
47,0.875956286986669,0.3030297391116619
48,0.8762295107046764,0.302767984966437
49,0.8761202212174733,0.3024568666021029
50,0.8760382541020711,0.30233516628543533
